CID,SMILES
17053,COC1=CC2=C(C=C1)NC=C2CCN3CCCC3
71028,CC1C2=C(CCN1)C3=C(N2)C=CC(=C3)OC
49756,CC1=C(C2=C(N1)C=CC(=C2)OC)CCN(C)C
21180,CN(C)CCC1=CNC2=C1C=C(C=C2)SC
29935323,CC(C)N(C)CCC1=CNC2=CC=CC=C21
9287,CC(CC1=CNC2=CC=CC=C21)N
6092,CCNCCC1=CNC2=CC=CC=C21
6088,CNCCC1=CNC2=CC=CC=C21
44457803,CCCN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC
26393,C1CCN(C1)CCC2=CNC3=CC=CC=C32
1150,C1=CC=C2C(=C1)C(=CN2)CCN
159809,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC
20961,CC(CC1=CNC2=C1C=C(C=C2)OC)NC
